Gene names,riBAQ 17,riBAQ 18,riBAQ 35,riBAQ 36,riBAQ 19,riBAQ 20,riBAQ 21,riBAQ 22,riBAQ 23,riBAQ 37,riBAQ 38,riBAQ 39,riBAQ 40,riBAQ 41,riBAQ 24,riBAQ 25,riBAQ 26,riBAQ 42,riBAQ 43
COL4A1,0.000590915,0.000156567,0.000249368,0.000219136,0.000186946,0.000196446,0.000331638,0.00018796,0.000423926,0.000467005,0.00018079,0.000493763,0.000700919,0.000358703,0.000228728,0.000236736,0.000234212,0.000219442,0.000272316
COL4A2,0.000520321,0.000222298,0.000223425,0.000154907,0.000237233,0.000199782,0.000318575,0.000224186,0.000393937,0.000391955,0.000203297,0.000386464,0.000549919,0.000297238,0.000250458,0.000294228,0.000259736,0.000202956,0.000233197
COL6A1,0.000164506,3.14E-05,6.36E-05,1.75E-05,0.000262328,0.000458651,0.000295481,0.000130526,0.000390303,0.00082772,0.000108028,0.000148155,0.000171018,0.000178163,0.00060264,0.002204789,0.000485122,0.001942635,0.001782243
COL6A2,0.000117493,1.59E-05,3.92E-05,8.40E-06,0.000165391,0.000287488,0.000179157,7.89E-05,0.000220986,0.000601798,7.29E-05,0.000102266,0.000115975,0.000138943,0.000377309,0.001735844,0.00032799,0.001464227,0.00120541
COL6A3,5.17E-05,1.12E-05,2.42E-05,6.14E-06,8.95E-05,0.000144366,9.96E-05,4.66E-05,0.000130358,0.000269482,3.69E-05,4.24E-05,4.75E-05,5.65E-05,0.000174351,0.000755976,0.00015023,0.000642673,0.000561962
COLEC12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22E-05,2.30E-05,1.77E-05,1.82E-05,1.99E-05
COMT,0,0,5.04E-05,4.55E-05,6.48E-05,0.000322459,0.000105181,4.88E-05,0,0.000126956,0.000142306,7.48E-05,8.41E-05,6.34E-05,0.000204788,0.000224345,0.000244872,0.000891688,0.000239998
COPA,0,0,0,0,0,7.17E-06,5.40E-06,0,0,0,0,0,0,0,0,6.33E-06,4.76E-06,6.86E-06,7.59E-06
COPB1,0,0,0,0,0,0,1.25E-05,0,0,8.86E-06,0,0,0,0,9.64E-06,2.02E-05,1.65E-05,2.48E-05,1.76E-05
COPS2,7.63E-05,0.000141046,0.000138951,0.000147934,0.000117997,9.02E-05,0.000106439,0.000113938,9.56E-05,0.000136409,0.000135694,4.91E-05,2.49E-05,9.78E-05,7.07E-05,4.44E-05,7.24E-05,6.26E-05,6.77E-05
COPS3,2.57E-05,2.32E-05,4.25E-05,4.17E-05,2.05E-05,0,3.14E-05,2.93E-05,2.32E-05,3.72E-05,3.97E-05,0,1.72E-05,3.76E-05,2.81E-05,1.75E-05,3.05E-05,1.59E-05,2.34E-05
COPS4,4.75E-05,9.45E-05,0.000146484,0.000147747,8.60E-05,0.000106052,9.14E-05,0.000116484,6.07E-05,0.000145873,0.000122607,6.21E-05,7.04E-05,0.000126636,6.98E-05,5.83E-05,4.74E-05,6.76E-05,5.61E-05
COPS5,6.97E-05,9.78E-05,8.89E-05,9.31E-05,7.66E-05,6.66E-05,8.10E-05,8.62E-05,8.57E-05,8.20E-05,7.15E-05,4.16E-05,4.48E-05,8.63E-05,5.26E-05,4.51E-05,3.95E-05,4.17E-05,3.35E-05
COPS6,0.000107764,0.000136685,0.000183388,0.000191851,0.00013312,0.000149872,0.000152085,0.000132346,0.000136292,0.000180433,0.000188735,7.92E-05,8.07E-05,0.00014714,8.30E-05,4.84E-05,6.61E-05,6.46E-05,8.26E-05
COPS7A,2.60E-05,3.18E-05,3.92E-05,3.75E-05,2.46E-05,3.63E-05,3.38E-05,2.46E-05,3.05E-05,3.00E-05,3.88E-05,0,0,3.06E-05,2.90E-05,0,0,0,2.17E-05
CORO1A,0.000238455,0.000377551,0.000460842,0.000550924,0.000310267,0.000246214,0.000184072,0.000313327,0.00022891,0.000242189,0.000214867,0.000122598,5.39E-05,0.000319688,9.54E-05,8.41E-05,9.15E-05,0.000102712,8.21E-05
CORO1B,3.28E-05,4.33E-05,4.04E-05,4.21E-05,2.95E-05,4.45E-05,2.24E-05,4.24E-05,4.67E-05,3.36E-05,4.22E-05,0,3.09E-05,2.97E-05,3.66E-05,3.52E-05,4.18E-05,5.09E-05,4.17E-05
CORO1C,4.24E-05,4.72E-05,7.84E-05,6.83E-05,5.94E-05,4.43E-05,4.37E-05,6.65E-05,4.70E-05,5.12E-05,6.07E-05,5.07E-05,3.11E-05,5.93E-05,4.32E-05,4.01E-05,3.98E-05,3.54E-05,4.61E-05
CORO2B,9.10E-05,8.41E-05,8.33E-05,7.19E-05,3.83E-05,5.32E-05,7.49E-05,4.89E-05,6.07E-05,6.17E-05,8.74E-05,5.83E-05,5.87E-05,4.55E-05,5.93E-05,3.65E-05,6.01E-05,4.25E-05,4.89E-05
COTL1,0.0005752,0.000532127,0.00029831,0.000280435,0.000544619,0.000667205,0.000495837,0.000747845,0.001032058,0.00049507,0.000717355,0.000715459,0.001049563,0.000784114,0.000921194,0.001042911,0.001184981,0.001027694,0.00119586
COX4I1,0.000239829,7.95E-05,7.23E-05,0.000110715,0.000363635,0.000317607,0.000234673,0.00026812,0.000193112,0.000283911,0.000140683,0.000158491,0.000116269,6.92E-05,0.000517007,0.001465763,0.000908209,0.000513561,0.002169611
COX5A,0.000178866,7.67E-05,0,0,0.000286838,0.000351035,0.000163658,0.000253082,0.000164197,0.000222247,0.000122133,0.000134654,0.000193716,6.45E-05,0.00046336,0.001184064,0.0005688,0.000429297,0.001729329
COX5B,0.000153131,8.75E-05,4.30E-05,0,0,0.000285802,0.00022595,0.000219054,0.000195233,0.000179222,0.000104395,0.000160713,0.000172577,0,0.00042934,0.000947628,0.000572219,0.000390398,0.001375105
COX6B1,0.000241903,0.000196468,0.000148168,0.000167229,0.000349725,0.000589601,0.000360457,0.00041608,0.000229208,0.000429187,0.000317594,0.000377656,0.000506111,0.000119968,0.000865144,0.002016873,0.000641844,0.00119828,0.002856116
CP,1.88E-05,8.23E-06,0,0,4.87E-05,8.12E-05,2.39E-05,6.76E-05,6.85E-05,2.20E-05,3.87E-05,3.28E-05,6.15E-05,2.90E-05,0.000198488,0.000527456,0.000525552,0.000327872,0.000378952
CPE,6.52E-05,7.06E-05,5.00E-05,4.14E-05,0.000100275,0.000129186,0.000135639,9.39E-05,0,5.94E-05,7.14E-05,6.09E-05,6.31E-05,6.93E-05,8.45E-05,0.00011343,5.44E-05,0.000105747,0.000170656
CPLX1,0.000539139,0.000684518,0.000640136,0.000622435,0.000231047,0.000478342,0.000195792,0,0,0.000678184,0.000666892,0.00047399,0.000447148,0.000417178,0.000218077,0,0,0,0
CPLX2,0.002243803,0.002790005,0.002350301,0.003649853,0.002322811,0.001144743,0.000748677,0.002292776,0.001778386,0.002941644,0.002387765,0.001543054,0.001778699,0.001786957,0.000615918,0,0.000369806,0.000178669,0.000238576
CPM,2.79E-05,0,2.35E-05,0,2.49E-05,4.55E-05,9.59E-05,4.50E-05,4.18E-05,3.41E-05,4.64E-05,2.97E-05,5.64E-05,5.83E-05,5.67E-05,9.21E-05,6.64E-05,6.51E-05,5.65E-05
CPNE1,2.09E-05,9.08E-05,6.43E-05,4.42E-05,0,0,1.40E-05,0,0,4.67E-05,6.43E-05,3.54E-05,0,3.34E-05,5.77E-05,2.30E-05,4.58E-05,0.000120606,6.75E-05
