"","kMEgreen","kMEturquoise","kMEblack","kMEpink","kMEgrey"
"SEPTIN10",0.815836385440582,0.892133228068001,-0.611001293986412,-0.477903540665763,0.387308575114564
"SEPTIN11",-0.705012492892168,-0.696120251006254,0.770578408392426,0.323969605954472,0.158577455874729
"SEPTIN2",0.620640048201275,0.794831726376836,-0.794318681160555,-0.634917000022502,0.0573320137982025
"SEPTIN3",-0.728705069645586,-0.779320463882794,0.768669255360143,0.618960639110594,-0.00423869341773849
"SEPTIN4",-0.364349673918237,-0.367960575139689,0.546485082609805,0.440519007509002,0.289968070434069
"SEPTIN5",-0.69286004387704,-0.788457492805738,0.876126471688958,0.653292616186395,0.128690428764871
"SEPTIN6",-0.695076184792995,-0.823083628736451,0.832946574052254,0.507459373840534,0.100261575271508
"SEPTIN7",-0.628792625402675,-0.650294696389148,0.807161991102128,0.318073630278872,0.220016226660997
"SEPTIN8",-0.632708986031577,-0.577042527649086,0.572006821106792,0.170855513232641,0.0837022802139496
"SEPTIN9",0.017034874882446,0.174743085790536,0.0418536611582204,-0.0219621895771695,0.37454663529073
"SERPINA1",-0.10665923795727,-0.0240944223544263,-0.401901240789481,-0.2970394201315,-0.493818505420097
"SERPINA3",0.165961958722471,-0.046615439338107,-0.170003954304156,-0.000851021844468187,-0.191959174284012
"SERPINB1",0.38576099287815,0.359839595927054,-0.6708424844143,-0.285254763876433,-0.466345024642927
"SERPINB6",-0.0414884532123216,-0.12837693948328,-0.245802940123552,0.0226637873792462,-0.532911121521501
"SERPINB9",-0.436591250748529,-0.540597866671649,0.486788742947279,0.0337965016284853,-0.121696148295946
"SERPINH1",0.951439371621485,0.79271403378076,-0.555287323690425,-0.365398419264414,0.373457654411395
"SET",0.322401789972369,0.530123791294844,-0.549197169240723,-0.21636859500456,-0.00309615371572779
"SFN",0.464625443473481,0.551512210829469,-0.687421878402609,-0.649639509662256,-0.218608304315067
"SFXN1",0.646395930309891,0.929033382763734,-0.615986093630812,-0.412027626711892,0.283655685202364
"SFXN3",0.646144883375648,0.930492181896778,-0.598477562638477,-0.455473779687932,0.30838785663501
"SFXN5",0.446832735902505,0.81152655145594,-0.539004506196832,-0.308672839720501,0.262397337697878
"SGCD",0.199431427430695,0.26115372287136,-0.499383672502007,0.00815522934952263,-0.280759564595648
"SGIP1",-0.720590645091679,-0.81934116161855,0.93375878335356,0.495548429930733,0.148943724234868
"SGTA",-0.100883346597647,-0.34401799904826,0.736835950178967,0.356000102306315,0.514240419050282
"SGTB",-0.332691638975879,-0.490452836896035,0.743101530804403,0.310484885931551,0.323114227524376
"SH3BGRL",0.187748366236104,0.252795422982583,-0.659242270039838,-0.538820947168927,-0.642581516558633
"SH3BGRL2",-0.644354933313437,-0.52901304120249,0.224296075432789,-0.170822944129344,-0.530774131593476
"SH3BGRL3",-0.269700777347855,-0.184417807259687,0.0082062794713821,0.0783683193790306,-0.442109980515349
"SH3GL1",-0.521461463185671,-0.562971603564317,0.879400153656334,0.337366760285847,0.411886331202698
"SH3GL2",-0.662969814278786,-0.781929568471578,0.943020737584456,0.553844282324709,0.238478181758537
"SH3GL3",-0.645697493124843,-0.777723137206903,0.955014772428591,0.582387412303859,0.233024740856815
"SH3GLB1",0.346138665712227,0.292494867218252,0.24375470839736,0.0168590635336585,0.628210024405971
"SH3GLB2",-0.346034583637096,-0.533894053231646,0.862011798110717,0.679932952646238,0.456506107263942
"SIAE",0.599580707466634,0.816712464450061,-0.679277498731706,-0.239678836788815,0.178482009458318
"SIRPA",-0.0762423131563989,-0.0114277931368706,-0.0269233828145174,0.618104396537668,-0.112320046842147
"SIRT2",-0.243791076314654,-0.447957261708279,0.175376393823366,0.496580762518918,-0.280426450497953
"SKP1",0.246860137223059,-0.0352654481074874,0.0611439677161014,-0.1668462155759,0.0745825502941343
"SLC12A2",-0.33597657936814,-0.593053119472288,0.71991777043087,0.414902599828923,0.203828055985388
"SLC12A5",-0.132894467975361,-0.18325029557351,0.0903778224111273,0.268140599268277,-0.0935162262345977
"SLC14A1",0.663304434559248,0.903165685229562,-0.702467289382991,-0.523874301570828,0.25412797098775
"SLC15A2",0.64208538875572,0.752413222773098,-0.310272277993849,-0.199853953389183,0.521501927076149
"SLC16A1",0.45381352933595,0.713891928626509,-0.763015894682164,-0.596441944119395,-0.057186613626529
"SLC17A7",-0.465679627833869,-0.569860239340238,0.640490251461733,0.911659975672779,0.0835067093129109
"SLC1A2",-0.564995086410263,-0.769240135798315,0.663774631343705,0.486227267403025,-0.00505902531477061
"SLC1A3",0.651563606590575,0.803140449100146,-0.613742154466612,-0.452273365415133,0.323031725223815
"SLC1A4",0.0405700926137995,-0.0475472601336802,-0.0134020985775897,0.265911929696781,0.00812995193081815
"SLC25A1",0.613324668471936,0.932051426548068,-0.576177573308765,-0.443543487832098,0.342245943985793
"SLC25A11",0.597669896416073,0.891486551469448,-0.608898971502596,-0.359533135327008,0.256076518570365
"SLC25A12",0.595385753767169,0.872718767705788,-0.58653726244008,-0.307079928360431,0.235957356383886
"SLC25A18",0.601702751391653,0.913610025860126,-0.549073840236713,-0.413636521365518,0.3357004915442
"SLC25A20",0.606163055884293,0.924722366296813,-0.577737280645049,-0.446952592552633,0.356114372001784
"SLC25A24",0.645676248070093,0.880080337285254,-0.516846722110117,-0.382233689243616,0.321451828512846
