,Gene,Comparison,Significance
PiD_vs_CTL.RAB10,RAB10,PiD_vs_CTL,Significant
PiD_vs_CTL.TOLLIP,TOLLIP,PiD_vs_CTL,Significant
PiD_vs_CTL.SPR,SPR,PiD_vs_CTL,Significant
PiD_vs_CTL.RTN4,RTN4,PiD_vs_CTL,Significant
PiD_vs_CTL.PPP3R1,PPP3R1,PiD_vs_CTL,Significant
PiD_vs_CTL.MAPRE2,MAPRE2,PiD_vs_CTL,Significant
PiD_vs_CTL.DCLK1,DCLK1,PiD_vs_CTL,Significant
PiD_vs_CTL.CDK5,CDK5,PiD_vs_CTL,Significant
PiD_vs_CTL.GSK3A,GSK3A,PiD_vs_CTL,Significant
PiD_vs_CTL.CA4,CA4,PiD_vs_CTL,Significant
PiD_vs_CTL.AP1G1,AP1G1,PiD_vs_CTL,Significant
PiD_vs_CTL.CLASP2,CLASP2,PiD_vs_CTL,Significant
PiD_vs_CTL.RBBP9,RBBP9,PiD_vs_CTL,Significant
PiD_vs_CTL.WDR48,WDR48,PiD_vs_CTL,Significant
PiD_vs_CTL.ENSA,ENSA,PiD_vs_CTL,Significant
PiD_vs_CTL.CSRP1,CSRP1,PiD_vs_CTL,Significant
PiD_vs_CTL.IGKC,IGKC,PiD_vs_CTL,Significant
PiD_vs_CTL.TPT1,TPT1,PiD_vs_CTL,Significant
PiD_vs_CTL.GSTP1,GSTP1,PiD_vs_CTL,Significant
PiD_vs_CTL.PSAP,PSAP,PiD_vs_CTL,Significant
PiD_vs_CTL.YWHAH,YWHAH,PiD_vs_CTL,Significant
PiD_vs_CTL.AP3M2,AP3M2,PiD_vs_CTL,Significant
PiD_vs_CTL.RALB,RALB,PiD_vs_CTL,Significant
PiD_vs_CTL.ITGB1,ITGB1,PiD_vs_CTL,Significant
PiD_vs_CTL.OPCML,OPCML,PiD_vs_CTL,Significant
PiD_vs_CTL.DYNC1I1,DYNC1I1,PiD_vs_CTL,Significant
PiD_vs_CTL.HPX,HPX,PiD_vs_CTL,Significant
PiD_vs_CTL.PAK1,PAK1,PiD_vs_CTL,Significant
PiD_vs_CTL.ITGA1,ITGA1,PiD_vs_CTL,Significant
PiD_vs_CTL.MAPRE3,MAPRE3,PiD_vs_CTL,Significant
PiD_vs_CTL.CD9,CD9,PiD_vs_CTL,Significant
PiD_vs_CTL.PRKACB,PRKACB,PiD_vs_CTL,Significant
PiD_vs_CTL.GNAO1,GNAO1,PiD_vs_CTL,Significant
PiD_vs_CTL.MCAM,MCAM,PiD_vs_CTL,Significant
PiD_vs_CTL.CPLX2,CPLX2,PiD_vs_CTL,Significant
PiD_vs_CTL.VPS26B,VPS26B,PiD_vs_CTL,Significant
PiD_vs_CTL.MAP6,MAP6,PiD_vs_CTL,Significant
PiD_vs_CTL.CNN3,CNN3,PiD_vs_CTL,Significant
PiD_vs_CTL.SNCA,SNCA,PiD_vs_CTL,Significant
PiD_vs_CTL.VAT1,VAT1,PiD_vs_CTL,Significant
PiD_vs_CTL.ARHGEF7,ARHGEF7,PiD_vs_CTL,Significant
PiD_vs_CTL.EPB41L1,EPB41L1,PiD_vs_CTL,Significant
PiD_vs_CTL.PSMC1,PSMC1,PiD_vs_CTL,Significant
PiD_vs_CTL.PDXK,PDXK,PiD_vs_CTL,Significant
PiD_vs_CTL.HSPA1B,HSPA1B,PiD_vs_CTL,Significant
PiD_vs_CTL.ARPP19,ARPP19,PiD_vs_CTL,Significant
PiD_vs_CTL.SLC9A1,SLC9A1,PiD_vs_CTL,Significant
PiD_vs_CTL.LAP3,LAP3,PiD_vs_CTL,Significant
PiD_vs_CTL.ALDH1A1,ALDH1A1,PiD_vs_CTL,Significant
PiD_vs_CTL.C4A,C4A,PiD_vs_CTL,Significant
PiD_vs_CTL.STXBP5L,STXBP5L,PiD_vs_CTL,Significant
PiD_vs_CTL.TCEB2,TCEB2,PiD_vs_CTL,Significant
PiD_vs_CTL.SLC8A1,SLC8A1,PiD_vs_CTL,Significant
PiD_vs_CTL.ADCY1,ADCY1,PiD_vs_CTL,Significant
PiD_vs_CTL.ABHD14B,ABHD14B,PiD_vs_CTL,Significant
PiD_vs_CTL.CBR1,CBR1,PiD_vs_CTL,Significant
PiD_vs_CTL.PAFAH1B1,PAFAH1B1,PiD_vs_CTL,Significant
PiD_vs_CTL.SPARCL1,SPARCL1,PiD_vs_CTL,Significant
PiD_vs_CTL.OTUB1,OTUB1,PiD_vs_CTL,Significant
PiD_vs_CTL.ANXA3,ANXA3,PiD_vs_CTL,Significant
PiD_vs_CTL.RTN1,RTN1,PiD_vs_CTL,Significant
PiD_vs_CTL.CTSD,CTSD,PiD_vs_CTL,Significant
PiD_vs_CTL.SCAMP1,SCAMP1,PiD_vs_CTL,Significant
PiD_vs_CTL.ALAD,ALAD,PiD_vs_CTL,Significant
